condition,outcome,ate
Consensus,behavior_mean,1.2
Consensus,belief_post,2.5
Consensus,concern_mean,1.5
Consensus,distrust_post,-1.9
Consensus,donation_ams,0.15
Consensus,funding_perceptions,1.3
Consensus,inst_trust_mean,1
Consensus,newsletter_signup,0.01
Consensus,policy_general,1.45
Consensus,policy_role_mean,1.65
Consensus,policy_specific_mean,1
Consensus,trust_multidimensional,2.1
Consensus,trust_post,2.35
Corporate reliance,behavior_mean,1
Corporate reliance,belief_post,1.5
Corporate reliance,concern_mean,1.1
Corporate reliance,distrust_post,-1.9
Corporate reliance,donation_ams,0.135
Corporate reliance,funding_perceptions,0.9
Corporate reliance,inst_trust_mean,0.8
Corporate reliance,newsletter_signup,0.009000000000000001
Corporate reliance,policy_general,1.05
Corporate reliance,policy_role_mean,1.25
Corporate reliance,policy_specific_mean,0.75
Corporate reliance,trust_multidimensional,2.15
Corporate reliance,trust_post,2.3
Extreme weather predictions,behavior_mean,1.5
Extreme weather predictions,belief_post,1.5
Extreme weather predictions,concern_mean,1.55
Extreme weather predictions,distrust_post,-1.7
Extreme weather predictions,donation_ams,0.2
Extreme weather predictions,funding_perceptions,1.3
Extreme weather predictions,inst_trust_mean,1.75
Extreme weather predictions,newsletter_signup,0.01
Extreme weather predictions,policy_general,1.25
Extreme weather predictions,policy_role_mean,2
Extreme weather predictions,policy_specific_mean,1.05
Extreme weather predictions,trust_multidimensional,2.25
Extreme weather predictions,trust_post,2.5
Former skeptics,behavior_mean,1.2
Former skeptics,belief_post,1.9
Former skeptics,concern_mean,1.5
Former skeptics,distrust_post,-1.75
Former skeptics,donation_ams,0.15
Former skeptics,funding_perceptions,1.3
Former skeptics,inst_trust_mean,0.95
Former skeptics,newsletter_signup,0.01
Former skeptics,policy_general,1.45
Former skeptics,policy_role_mean,1.1
Former skeptics,policy_specific_mean,1
Former skeptics,trust_multidimensional,1.9000000000000001
Former skeptics,trust_post,2.1
Funding,behavior_mean,1
Funding,belief_post,1.35
Funding,concern_mean,1.1
Funding,distrust_post,-2.45
Funding,donation_ams,0.15
Funding,funding_perceptions,3
Funding,inst_trust_mean,0.85
Funding,newsletter_signup,0.01
Funding,policy_general,1.05
Funding,policy_role_mean,0.8
Funding,policy_specific_mean,0.85
Funding,trust_multidimensional,2
Funding,trust_post,1.75
