condition,outcome,n_prompts,prompt_min,prompt_max,prompt_range,prompt_range_fraction
Consensus,behavior_mean,2,1.2,1.2,0,0
Consensus,belief_post,2,2.5,2.5,0,0
Consensus,concern_mean,2,1.5,1.5,0,0
Consensus,distrust_post,2,-2,-1.8,0.19999999999999996,0.0019999999999999996
Consensus,donation_ams,2,0.15,0.15,0,0
Consensus,funding_perceptions,2,1.3,1.3,0,0
Consensus,inst_trust_mean,2,1,1,0,0
Consensus,newsletter_signup,2,0.01,0.01,0,0
Consensus,policy_general,2,1.4,1.5,0.10000000000000009,0.0010000000000000009
Consensus,policy_role_mean,2,1.5,1.8,0.30000000000000004,0.0030000000000000005
Consensus,policy_specific_mean,2,1,1,0,0
Consensus,trust_multidimensional,2,2,2.2,0.20000000000000018,0.0020000000000000018
Consensus,trust_post,2,2.2,2.5,0.2999999999999998,0.0029999999999999983
Corporate reliance,behavior_mean,2,0.8,1.2,0.3999999999999999,0.003999999999999999
Corporate reliance,belief_post,2,1.2,1.8,0.6000000000000001,0.006000000000000001
Corporate reliance,concern_mean,2,0.9,1.3,0.4,0.004
Corporate reliance,distrust_post,2,-2.5,-1.3,1.2,0.012
Corporate reliance,donation_ams,2,0.12,0.15,0.03,0.003
Corporate reliance,funding_perceptions,2,0.7,1.1,0.40000000000000013,0.004000000000000001
Corporate reliance,inst_trust_mean,2,0.6,1,0.4,0.004
Corporate reliance,newsletter_signup,2,0.008,0.01,0.002,0.002
Corporate reliance,policy_general,2,0.8,1.3,0.5,0.005
Corporate reliance,policy_role_mean,2,1,1.5,0.5,0.005
Corporate reliance,policy_specific_mean,2,0.6,0.9,0.30000000000000004,0.0030000000000000005
Corporate reliance,trust_multidimensional,2,1.5,2.8,1.2999999999999998,0.012999999999999998
Corporate reliance,trust_post,2,1.6,3,1.4,0.013999999999999999
Extreme weather predictions,behavior_mean,2,1.2,1.8,0.6000000000000001,0.006000000000000001
Extreme weather predictions,belief_post,2,1.5,1.5,0,0
Extreme weather predictions,concern_mean,2,1.3,1.8,0.5,0.005
Extreme weather predictions,distrust_post,2,-2,-1.4,0.6000000000000001,0.006000000000000001
Extreme weather predictions,donation_ams,2,0.15,0.25,0.1,0.01
Extreme weather predictions,funding_perceptions,2,1.1,1.5,0.3999999999999999,0.003999999999999999
Extreme weather predictions,inst_trust_mean,2,1.5,2,0.5,0.005
Extreme weather predictions,newsletter_signup,2,0.01,0.01,0,0
Extreme weather predictions,policy_general,2,1,1.5,0.5,0.005
Extreme weather predictions,policy_role_mean,2,1.8,2.2,0.40000000000000013,0.004000000000000001
Extreme weather predictions,policy_specific_mean,2,0.8,1.3,0.5,0.005
Extreme weather predictions,trust_multidimensional,2,2,2.5,0.5,0.005
Extreme weather predictions,trust_post,2,2.2,2.8,0.5999999999999996,0.005999999999999997
Former skeptics,behavior_mean,2,1.2,1.2,0,0
Former skeptics,belief_post,2,1.8,2,0.19999999999999996,0.0019999999999999996
Former skeptics,concern_mean,2,1.5,1.5,0,0
